invoice_id,subscription_id,invoice_date,amount,currency,status
I000068,S00003,2025-07-28,29.00,EUR,failed
I000069,S00003,2025-08-28,29.00,EUR,paid
I000070,S00003,2025-09-28,29.00,EUR,paid
I000071,S00003,2025-10-28,29.00,EUR,paid
I000072,S00003,2025-11-28,29.00,EUR,paid
I000073,S00003,2025-12-28,29.00,EUR,open
I000074,S00003,2026-01-28,29.00,EUR,paid
I000075,S00003,2026-02-28,29.00,EUR,paid
I000076,S00003,2026-03-28,29.00,EUR,paid
I000077,S00003,2026-04-28,29.00,EUR,paid
I000078,S00003,2026-05-28,29.00,EUR,paid
I000079,S00003,2026-06-28,29.00,EUR,paid
I000080,S00003,2026-07-28,29.00,EUR,paid
I000081,S00004,2025-07-15,299.00,EUR,open
I000082,S00004,2025-08-15,299.00,EUR,paid
I000083,S00004,2025-09-15,299.00,EUR,paid
I000084,S00004,2025-10-15,299.00,EUR,paid
I000085,S00004,2025-11-15,299.00,EUR,paid
I000086,S00004,2025-12-15,299.00,EUR,paid
I000087,S00004,2026-01-15,299.00,EUR,paid
I000088,S00004,2026-02-15,299.00,EUR,paid
I000089,S00004,2026-03-15,299.00,EUR,paid
I000090,S00004,2026-04-15,299.00,EUR,paid
I000091,S00004,2026-05-15,299.00,EUR,paid
I000092,S00004,2026-06-15,299.00,EUR,paid
I000093,S00004,2026-07-15,299.00,EUR,paid
I000094,S00005,2024-09-04,299.00,EUR,paid
I000095,S00005,2024-10-04,299.00,EUR,paid
I000096,S00005,2024-11-04,299.00,EUR,paid
I000097,S00005,2024-12-04,299.00,EUR,paid
I000098,S00005,2025-01-04,299.00,EUR,paid
I000099,S00005,2025-02-04,299.00,EUR,paid
I000100,S00005,2025-03-04,299.00,EUR,paid
I000101,S00005,2025-04-04,299.00,SEK,paid
I000102,S00005,2025-05-04,299.00,EUR,paid
I000103,S00005,2025-06-04,299.00,EUR,paid
I000104,S00005,2025-07-04,299.00,EUR,paid
I000105,S00005,2025-08-04,299.00,EUR,paid
I000106,S00005,2025-09-04,299.00,EUR,paid
I000107,S00005,2025-10-04,299.00,EUR,paid
I000108,S00005,2025-11-04,299.00,EUR,paid
I000109,S00005,2025-12-04,299.00,EUR,paid
I000110,S00005,2026-01-04,299.00,EUR,paid
I000111,S00005,2026-02-04,299.00,EUR,paid
I000112,S00005,2026-03-04,299.00,EUR,paid
I000113,S00005,2026-04-04,299.00,EUR,paid
I000114,S00005,2026-05-04,299.00,EUR,paid
I000115,S00005,2026-06-04,299.00,EUR,paid
I000116,S00005,2026-07-04,299.00,EUR,paid
I000117,S00006,2025-05-23,29.00,EUR,paid
I000118,S00006,2025-06-23,29.00,EUR,paid
I000119,S00006,2025-07-23,29.00,EUR,paid
I000120,S00006,2025-08-23,29.00,EUR,paid
I000121,S00006,2025-09-23,29.00,EUR,paid
I000122,S00006,2025-10-23,29.00,EUR,paid
I000123,S00006,2025-11-23,29.00,EUR,paid
I000124,S00006,2025-12-23,29.00,EUR,paid
I000125,S00006,2026-01-23,29.00,EUR,paid
I000126,S00006,2026-02-23,29.00,EUR,paid
I000127,S00006,2026-03-23,29.00,EUR,paid
I000128,S00006,2026-04-23,29.00,EUR,paid
I000129,S00006,2026-05-23,29.00,EUR,paid
I000130,S00006,2026-06-23,29.00,EUR,open
I000131,S00006,2026-07-23,29.00,EUR,paid
I000132,S00007,2025-11-07,299.00,EUR,paid
I000133,S00007,2025-12-07,299.00,EUR,open
I000134,S00007,2026-01-07,299.00,EUR,open
I000135,S00007,2026-02-07,299.00,EUR,paid
I000136,S00007,2026-03-07,299.00,EUR,paid
I000137,S00007,2026-04-07,299.00,EUR,paid
I000138,S00007,2026-05-07,299.00,EUR,paid
I000139,S00007,2026-06-07,299.00,EUR,paid
I000140,S00007,2026-07-07,299.00,EUR,paid
I000141,S00008,2024-07-11,29.00,EUR,paid
I000142,S00008,2024-08-11,29.00,EUR,paid
I000143,S00008,2024-09-11,29.00,EUR,paid
I000144,S00008,2024-10-11,29.00,EUR,paid
I000145,S00008,2024-11-11,29.00,EUR,open
I000146,S00008,2024-12-11,29.00,EUR,paid
I000147,S00008,2025-01-11,29.00,EUR,paid
I000148,S00008,2025-02-11,29.00,EUR,paid
I000149,S00008,2025-03-11,29.00,EUR,paid
I000150,S00008,2025-04-11,29.00,EUR,paid
I000151,S00008,2025-05-11,29.00,EUR,paid
I000152,S00008,2025-06-11,29.00,EUR,paid
I000153,S00008,2025-07-11,29.00,EUR,paid
I000154,S00008,2025-08-11,29.00,EUR,paid
I000155,S00008,2025-09-11,29.00,EUR,paid
I000156,S00008,2025-10-11,29.00,EUR,paid
I000157,S00008,2025-11-11,29.00,EUR,paid
I000158,S00008,2025-12-11,29.00,EUR,paid
I000159,S00008,2026-01-11,29.00,EUR,open
I000160,S00008,2026-02-11,29.00,EUR,paid
I000161,S00008,2026-03-11,29.00,EUR,paid
I000162,S00008,2026-04-11,29.00,EUR,paid
I000163,S00008,2026-05-11,29.00,EUR,paid
I000164,S00008,2026-06-11,29.00,EUR,paid
I000165,S00008,2026-07-11,29.00,EUR,paid
I000166,S00009,2024-07-16,299.00,EUR,paid
I000167,S00009,2024-08-16,299.00,EUR,paid
I000168,S00009,2024-09-16,299.00,EUR,paid
I000169,S00009,2024-10-16,299.00,EUR,paid
I000170,S00009,2024-11-16,299.00,EUR,paid
I000171,S00009,2024-12-16,299.00,EUR,paid
I000172,S00009,2025-01-16,299.00,EUR,paid
I000173,S00009,2025-02-16,299.00,EUR,paid
I000174,S00009,2025-03-16,299.00,EUR,paid
I000175,S00009,2025-04-16,299.00,EUR,paid
I000176,S00009,2025-05-16,299.00,EUR,open
I000177,S00009,2025-06-16,299.00,EUR,paid
I000178,S00009,2025-07-16,299.00,EUR,paid
I000179,S00009,2025-08-16,299.00,EUR,paid
I000180,S00009,2025-09-16,299.00,EUR,open
I000181,S00009,2025-10-16,299.00,EUR,paid
I000182,S00009,2025-11-16,299.00,EUR,paid
I000183,S00009,2025-12-16,299.00,EUR,paid
I000184,S00009,2026-01-16,299.00,EUR,paid
I000185,S00009,2026-02-16,299.00,EUR,paid
I000186,S00009,2026-03-16,299.00,EUR,paid
I000187,S00009,2026-04-16,299.00,EUR,paid
I000188,S00009,2026-05-16,299.00,EUR,paid
I000189,S00009,2026-06-16,299.00,EUR,paid
I000190,S00009,2026-07-16,299.00,EUR,paid
I000191,S00010,2024-05-26,299.00,EUR,paid
I000192,S00010,2024-06-26,299.00,EUR,paid
I000193,S00010,2024-07-26,299.00,EUR,paid
I000194,S00010,2024-08-26,299.00,EUR,open
I000195,S00010,2024-09-26,299.00,EUR,open
I000196,S00010,2024-10-26,299.00,EUR,paid
I000197,S00010,2024-11-26,299.00,EUR,paid
I000198,S00010,2024-12-26,299.00,EUR,paid
I000199,S00010,2025-01-26,299.00,EUR,paid
I000200,S00010,2025-02-26,299.00,EUR,paid
I000201,S00011,2025-01-08,299.00,SEK,open
I000202,S00011,2025-02-08,299.00,EUR,paid
I000203,S00011,2025-03-08,299.00,EUR,paid
I000204,S00011,2025-04-08,299.00,EUR,paid
I000205,S00011,2025-05-08,299.00,EUR,paid
I000206,S00011,2025-06-08,299.00,EUR,paid
I000207,S00011,2025-07-08,299.00,EUR,paid
I000208,S00011,2025-08-08,299.00,EUR,paid
I000209,S00011,2025-09-08,299.00,EUR,paid
I000210,S00011,2025-10-08,299.00,EUR,open
I000211,S00012,2025-02-09,29.00,EUR,paid
I000212,S00012,2025-03-09,29.00,EUR,paid
I000213,S00012,2025-04-09,29.00,EUR,paid
I000214,S00012,2025-05-09,29.00,EUR,paid
I000215,S00012,2025-06-09,29.00,EUR,paid
I000216,S00012,2025-07-09,29.00,EUR,paid
I000217,S00012,2025-08-09,29.00,EUR,paid
I000218,S00012,2025-09-09,29.00,EUR,paid
I000219,S00012,2025-10-09,29.00,EUR,paid
I000220,S00012,2025-11-09,29.00,EUR,paid
I000221,S00013,2025-05-13,99.00,EUR,paid
I000222,S00013,2025-06-13,99.00,EUR,paid
I000223,S00013,2025-07-13,99.00,EUR,paid
I000224,S00013,2025-08-13,99.00,EUR,paid
I000225,S00013,2025-09-13,99.00,EUR,paid
I000226,S00013,2025-10-13,99.00,EUR,paid
I000227,S00013,2025-11-13,99.00,EUR,paid
I000228,S00013,2025-12-13,99.00,EUR,paid
I000229,S00013,2026-01-13,99.00,EUR,paid
I000230,S00013,2026-02-13,99.00,EUR,paid
I000231,S00013,2026-03-13,99.00,EUR,paid
I000232,S00013,2026-04-13,99.00,EUR,paid
I000233,S00013,2026-05-13,99.00,EUR,open
I000234,S00013,2026-06-13,99.00,EUR,open
I000235,S00013,2026-07-13,99.00,EUR,paid
I000236,S00014,2024-04-10,99.00,EUR,paid
I000237,S00014,2024-05-10,99.00,EUR,paid
I000238,S00014,2024-06-10,99.00,EUR,paid
I000239,S00015,2025-02-18,99.00,EUR,failed
I000240,S00015,2025-03-18,99.00,EUR,paid
I000241,S00015,2025-04-18,99.00,EUR,paid
I000242,S00015,2025-05-18,99.00,EUR,paid
I000243,S00015,2025-06-18,99.00,EUR,failed
I000244,S00015,2025-07-18,99.00,EUR,paid
I000245,S00015,2025-08-18,99.00,EUR,paid
I000246,S00015,2025-09-18,99.00,EUR,paid
I000247,S00015,2025-10-18,99.00,EUR,paid
I000248,S00015,2025-11-18,99.00,EUR,paid
I000249,S00015,2025-12-18,99.00,EUR,paid
I000250,S00015,2026-01-18,99.00,EUR,paid
I000251,S00015,2026-02-18,99.00,EUR,paid
I000252,S00015,2026-03-18,99.00,EUR,paid
I000253,S00015,2026-04-18,99.00,EUR,paid
I000254,S00015,2026-05-18,99.00,EUR,paid
I000255,S00015,2026-06-18,99.00,EUR,paid
I000256,S00015,2026-07-18,99.00,EUR,paid
I000257,S00016,2024-03-08,99.00,EUR,paid
I000258,S00016,2024-04-08,99.00,EUR,paid
I000259,S00016,2024-05-08,99.00,EUR,failed
I000260,S00016,2024-06-08,99.00,EUR,paid
I000261,S00016,2024-07-08,99.00,EUR,paid
I000262,S00016,2024-08-08,99.00,EUR,paid
I000263,S00016,2024-09-08,99.00,EUR,paid
I000264,S00016,2024-10-08,99.00,EUR,paid
I000265,S00016,2024-11-08,99.00,EUR,paid
I000266,S00016,2024-12-08,99.00,EUR,paid
I000267,S00016,2025-01-08,99.00,EUR,paid
I000268,S00016,2025-02-08,99.00,EUR,open
I000269,S00016,2025-03-08,99.00,EUR,paid
I000270,S00016,2025-04-08,99.00,EUR,paid
I000271,S00016,2025-05-08,99.00,EUR,paid
I000272,S00016,2025-06-08,99.00,EUR,paid
I000273,S00016,2025-07-08,99.00,EUR,paid
I000274,S00016,2025-08-08,99.00,EUR,paid
I000275,S00016,2025-09-08,99.00,EUR,paid
I000276,S00016,2025-10-08,99.00,EUR,paid
I000277,S00016,2025-11-08,99.00,EUR,paid
I000278,S00016,2025-12-08,99.00,EUR,paid
I000279,S00016,2026-01-08,99.00,EUR,paid
I000280,S00016,2026-02-08,99.00,EUR,paid
I000281,S00016,2026-03-08,99.00,EUR,paid
I000282,S00016,2026-04-08,99.00,EUR,paid
I000283,S00016,2026-05-08,99.00,EUR,paid
I000284,S00016,2026-06-08,99.00,EUR,paid
I000285,S00016,2026-07-08,99.00,EUR,paid
I000286,S00017,2024-09-19,99.00,EUR,paid
I000287,S00017,2024-10-19,99.00,EUR,paid
I000288,S00017,2024-11-19,99.00,EUR,paid
I000289,S00017,2024-12-19,99.00,EUR,paid
I000290,S00017,2025-01-19,99.00,EUR,paid
I000291,S00017,2025-02-19,99.00,EUR,paid
I000292,S00017,2025-03-19,99.00,EUR,paid
I000293,S00017,2025-04-19,99.00,EUR,failed
I000294,S00017,2025-05-19,99.00,EUR,failed
I000295,S00017,2025-06-19,99.00,EUR,paid
I000296,S00017,2025-07-19,99.00,EUR,paid
I000297,S00017,2025-08-19,99.00,EUR,paid
I000298,S00017,2025-09-19,99.00,EUR,paid
I000299,S00017,2025-10-19,99.00,EUR,failed
I000300,S00017,2025-11-19,99.00,EUR,paid
I000301,S00017,2025-12-19,99.00,EUR,paid
I000302,S00017,2026-01-19,99.00,EUR,paid
I000303,S00017,2026-02-19,99.00,EUR,paid
I000304,S00017,2026-03-19,99.00,EUR,paid
I000305,S00017,2026-04-19,99.00,EUR,open
I000306,S00017,2026-05-19,99.00,EUR,paid
I000307,S00017,2026-06-19,99.00,EUR,paid
I000308,S00017,2026-07-19,99.00,EUR,paid
I000309,S00018,2025-06-02,29.00,EUR,open
I000310,S00018,2025-07-02,29.00,EUR,paid
I000311,S00018,2025-08-02,29.00,EUR,paid
I000312,S00018,2025-09-02,29.00,EUR,paid
I000313,S00018,2025-10-02,29.00,EUR,open
I000314,S00018,2025-11-02,29.00,EUR,paid
I000315,S00018,2025-12-02,29.00,EUR,paid
I000316,S00018,2026-01-02,29.00,EUR,failed
I000317,S00018,2026-02-02,29.00,EUR,paid
I000318,S00018,2026-03-02,29.00,EUR,paid
I000319,S00018,2026-04-02,29.00,EUR,paid
I000320,S00019,2025-12-06,99.00,EUR,paid
I000321,S00019,2026-01-06,99.00,EUR,paid
I000322,S00019,2026-02-06,,EUR,paid
I000323,S00019,2026-03-06,99.00,EUR,paid
I000324,S00019,2026-04-06,99.00,EUR,failed
I000325,S00019,2026-05-06,99.00,EUR,paid
I000326,S00019,2026-06-06,99.00,EUR,paid
I000327,S00019,2026-07-06,99.00,EUR,failed
I000328,S00020,2026-07-14,99.00,EUR,paid
I000329,S00021,2025-02-18,299.00,EUR,paid
I000330,S00021,2025-03-18,299.00,EUR,paid
I000331,S00021,2025-04-18,299.00,EUR,paid
I000332,S00021,2025-05-18,299.00,EUR,paid
I000333,S00021,2025-06-18,299.00,EUR,paid
I000334,S00022,2025-10-07,29.00,EUR,paid
I000335,S00022,2025-11-07,29.00,EUR,paid
I000336,S00022,2025-12-07,29.00,EUR,paid
I000337,S00022,2026-01-07,29.00,EUR,paid
I000338,S00022,2026-02-07,29.00,EUR,paid
I000339,S00022,2026-03-07,29.00,EUR,paid
I000340,S00022,2026-04-07,29.00,EUR,paid
I000341,S00022,2026-05-07,29.00,EUR,paid
I000342,S00022,2026-06-07,29.00,EUR,paid
I000343,S00022,2026-07-07,29.00,EUR,paid
I000344,S00023,2024-08-06,299.00,EUR,paid
I000345,S00023,2024-09-06,299.00,EUR,paid
I000346,S00023,2024-10-06,299.00,EUR,paid
I000347,S00023,2024-11-06,299.00,EUR,paid
I000348,S00023,2024-12-06,299.00,EUR,paid
I000349,S00023,2025-01-06,299.00,EUR,paid
I000350,S00023,2025-02-06,299.00,EUR,paid
I000351,S00023,2025-03-06,299.00,EUR,paid
I000352,S00023,2025-04-06,299.00,EUR,paid
I000353,S00023,2025-05-06,299.00,EUR,open
I000354,S00023,2025-06-06,299.00,EUR,paid
I000355,S00023,2025-07-06,299.00,EUR,paid
I000356,S00023,2025-08-06,299.00,EUR,paid
I000357,S00023,2025-09-06,299.00,EUR,paid
I000358,S00024,2025-05-27,29.00,EUR,paid
I000359,S00024,2025-06-27,29.00,EUR,paid
I000360,S00024,2025-07-27,29.00,EUR,paid
I000361,S00024,2025-08-27,29.00,EUR,paid
I000362,S00024,2025-09-27,29.00,EUR,paid
I000363,S00024,2025-10-27,29.00,EUR,paid
I000364,S00024,2025-11-27,29.00,EUR,paid
I000365,S00024,2025-12-27,29.00,EUR,failed
I000366,S00024,2026-01-27,29.00,EUR,paid
I000367,S00024,2026-02-27,29.00,EUR,paid
I000368,S00024,2026-03-27,29.00,EUR,paid
I000369,S00024,2026-04-27,29.00,EUR,failed
I000370,S00024,2026-05-27,29.00,EUR,paid
I000371,S00024,2026-06-27,29.00,EUR,paid
I000372,S00024,2026-07-27,29.00,EUR,paid
I000373,S00025,2026-01-08,299.00,EUR,paid
I000374,S00025,2026-02-08,299.00,EUR,failed
I000375,S00025,2026-03-08,299.00,EUR,paid
I000376,S00026,2024-08-23,99.00,EUR,paid
I000377,S00026,2024-09-23,99.00,EUR,paid
I000378,S00026,2024-10-23,99.00,EUR,paid
I000379,S00026,2024-11-23,99.00,EUR,paid
I000380,S00026,2024-12-23,99.00,EUR,paid
I000381,S00026,2025-01-23,99.00,EUR,paid
I000382,S00026,2025-02-23,99.00,EUR,paid
I000383,S00026,2025-03-23,99.00,EUR,paid
I000384,S00026,2025-04-23,99.00,EUR,paid
I000385,S00026,2025-05-23,99.00,EUR,paid
I000386,S00026,2025-06-23,99.00,EUR,paid
I000387,S00026,2025-07-23,99.00,EUR,paid
I000388,S00026,2025-08-23,99.00,EUR,paid
I000389,S00026,2025-09-23,99.00,EUR,paid
I000390,S00026,2025-10-23,99.00,EUR,paid
I000391,S00026,2025-11-23,99.00,EUR,paid
I000392,S00026,2025-12-23,99.00,EUR,paid
I000393,S00026,2026-01-23,99.00,EUR,paid
I000394,S00026,2026-02-23,99.00,EUR,paid
I000395,S00026,2026-03-23,99.00,EUR,paid
I000396,S00026,2026-04-23,99.00,EUR,paid
I000397,S00026,2026-05-23,99.00,EUR,paid
I000398,S00026,2026-06-23,99.00,EUR,paid
I000399,S00026,2026-07-23,99.00,EUR,paid
I000400,S00027,2024-02-22,99.00,EUR,failed
I000401,S00027,2024-03-22,99.00,EUR,paid
I000402,S00027,2024-04-22,99.00,EUR,failed
I000403,S00027,2024-05-22,99.00,EUR,paid
I000404,S00027,2024-06-22,99.00,EUR,paid
I000405,S00027,2024-07-22,99.00,EUR,paid
I000406,S00027,2024-08-22,99.00,EUR,paid
I000407,S00027,2024-09-22,99.00,EUR,paid
I000408,S00027,2024-10-22,99.00,EUR,paid
I000409,S00027,2024-11-22,99.00,EUR,open
I000410,S00027,2024-12-22,99.00,EUR,paid
I000411,S00027,2025-01-22,99.00,EUR,paid
I000412,S00027,2025-02-22,99.00,EUR,paid
I000413,S00027,2025-03-22,99.00,EUR,open
I000414,S00027,2025-04-22,99.00,EUR,paid
I000415,S00027,2025-05-22,99.00,EUR,open
I000416,S00027,2025-06-22,99.00,EUR,paid
I000417,S00027,2025-07-22,99.00,EUR,failed
I000418,S00027,2025-08-22,99.00,EUR,paid
I000419,S00027,2025-09-22,99.00,EUR,paid
I000420,S00027,2025-10-22,99.00,EUR,open
I000421,S00027,2025-11-22,99.00,EUR,paid
I000422,S00027,2025-12-22,99.00,EUR,paid
I000423,S00027,2026-01-22,99.00,EUR,paid
I000424,S00027,2026-02-22,99.00,EUR,paid
I000425,S00027,2026-03-22,99.00,EUR,paid
I000426,S00027,2026-04-22,99.00,EUR,paid
I000427,S00027,2026-05-22,99.00,EUR,paid
I000428,S00027,2026-06-22,99.00,EUR,paid
I000429,S00027,2026-07-22,99.00,EUR,paid
I000430,S00028,2024-03-24,99.00,EUR,paid
I000431,S00028,2024-04-24,99.00,EUR,paid
I000432,S00028,2024-05-24,99.00,EUR,paid
I000433,S00028,2024-06-24,99.00,EUR,paid
I000434,S00028,2024-07-24,99.00,EUR,paid
I000435,S00028,2024-08-24,99.00,EUR,paid
I000436,S00028,2024-09-24,99.00,EUR,paid
I000437,S00028,2024-10-24,99.00,EUR,open
I000438,S00028,2024-11-24,99.00,EUR,paid
I000439,S00029,2024-10-04,29.00,EUR,failed
I000440,S00029,2024-11-04,29.00,EUR,paid
I000441,S00029,2024-12-04,29.00,EUR,failed
I000442,S00029,2025-01-04,29.00,EUR,failed
I000443,S00029,2025-02-04,29.00,EUR,paid
I000444,S00029,2025-03-04,29.00,EUR,paid
I000445,S00029,2025-04-04,29.00,EUR,paid
I000446,S00029,2025-05-04,29.00,EUR,paid
I000447,S00029,2025-06-04,29.00,EUR,paid
I000448,S00029,2025-07-04,29.00,EUR,failed
I000449,S00029,2025-08-04,29.00,EUR,paid
I000450,S00029,2025-09-04,29.00,EUR,paid
I000451,S00029,2025-10-04,29.00,EUR,PAID 
I000452,S00029,2025-11-04,29.00,EUR,paid
I000453,S00029,2025-12-04,29.00,EUR,paid
I000454,S00029,2026-01-04,29.00,EUR,paid
I000455,S00029,2026-02-04,29.00,EUR,paid
I000456,S00029,2026-03-04,29.00,EUR,paid
I000457,S00029,2026-04-04,29.00,EUR,paid
I000458,S00029,2026-05-04,29.00,EUR,paid
I000459,S00029,2026-06-04,29.00,EUR,paid
I000460,S00029,2026-07-04,29.00,EUR,failed
I000461,S00030,2025-08-05,29.00,EUR,paid
I000462,S00030,2025-09-05,29.00,EUR,paid
I000463,S00030,2025-10-05,29.00,EUR,paid
I000464,S00030,2025-11-05,29.00,EUR,paid
I000465,S00030,2025-12-05,29.00,EUR,paid
I000466,S00030,2026-01-05,29.00,EUR,paid
I000467,S00030,2026-02-05,29.00,EUR,paid
I000468,S00030,2026-03-05,29.00,EUR,paid
I000469,S00030,2026-04-05,29.00,EUR,paid
I000470,S00030,2026-05-05,29.00,EUR,paid
I000471,S00030,2026-06-05,29.00,EUR,paid
I000472,S00030,2026-07-05,29.00,EUR,paid
I000473,S00031,2024-06-07,29.00,EUR,paid
I000474,S00031,2024-07-07,29.00,EUR,paid
I000475,S00031,2024-08-07,29.00,EUR,paid
I000476,S00031,2024-09-07,29.00,EUR,failed
I000477,S00031,2024-10-07,29.00,EUR,paid
I000478,S00031,2024-11-07,29.00,EUR,open
I000479,S00031,2024-12-07,29.00,EUR,paid
I000480,S00031,2025-01-07,29.00,EUR,paid
I000481,S00031,2025-02-07,29.00,EUR,open
I000482,S00031,2025-03-07,29.00,EUR,paid
I000483,S00031,2025-04-07,29.00,EUR,open
I000484,S00031,2025-05-07,29.00,EUR,paid
I000485,S00032,2024-10-22,29.00,EUR,paid
I000486,S00032,2024-11-22,29.00,EUR,paid
I000487,S00032,2024-12-22,29.00,EUR,paid
I000488,S00032,2025-01-22,29.00,EUR,paid
I000489,S00032,2025-02-22,29.00,EUR,paid
I000490,S00032,2025-03-22,29.00,EUR,paid
I000491,S00032,2025-04-22,29.00,EUR,paid
I000492,S00032,2025-05-22,29.00,EUR,open
I000493,S00032,2025-06-22,29.00,EUR,open
I000494,S00032,2025-07-22,29.00,EUR,paid
I000495,S00032,2025-08-22,29.00,EUR,open
I000496,S00032,2025-09-22,29.00,EUR,paid
I000497,S00032,2025-10-22,29.00,EUR,paid
I000498,S00032,2025-11-22,29.00,EUR,paid
I000499,S00032,2025-12-22,29.00,EUR,paid
I000500,S00032,2026-01-22,29.00,EUR,paid
I000501,S00032,2026-02-22,29.00,EUR,paid
I000502,S00032,2026-03-22,29.00,EUR,paid
I000503,S00032,2026-04-22,29.00,EUR,paid
I000504,S00032,2026-05-22,29.00,EUR,paid
I000505,S00032,2026-06-22,29.00,EUR,paid
I000506,S00032,2026-07-22,29.00,EUR,paid
I000507,S00033,2024-10-25,29.00,EUR,paid
I000508,S00033,2024-11-25,29.00,EUR,paid
I000509,S00033,2024-12-25,29.00,EUR,paid
I000510,S00033,2025-01-25,29.00,EUR,paid
I000511,S00033,2025-02-25,29.00,EUR,failed
I000512,S00033,2025-03-25,29.00,EUR,paid
I000513,S00033,2025-04-25,29.00,EUR,paid
I000514,S00033,2025-05-25,29.00,EUR,paid
I000515,S00034,2025-03-29,299.00,EUR,paid
I000516,S00034,2025-04-29,299.00,EUR,paid
I000517,S00034,2025-05-29,299.00,EUR,failed
I000518,S00034,2025-06-29,299.00,EUR,paid
I000519,S00034,2025-07-29,299.00,EUR,paid
I000520,S00034,2025-08-29,299.00,EUR,paid
I000521,S00034,2025-09-29,299.00,EUR,paid
I000522,S00034,2025-10-29,299.00,EUR,open
I000523,S00034,2025-11-29,299.00,EUR,paid
I000524,S00034,2025-12-29,299.00,EUR,paid
I000525,S00034,2026-01-29,299.00,EUR,paid
I000526,S00034,2026-02-28,299.00,EUR,failed
I000527,S00034,2026-03-28,299.00,EUR,paid
I000528,S00034,2026-04-28,299.00,EUR,open
I000529,S00034,2026-05-28,299.00,EUR,paid
I000530,S00034,2026-06-28,299.00,EUR,paid
I000531,S00034,2026-07-28,299.00,EUR,paid
I000532,S00035,2025-06-11,99.00,EUR,paid
I000533,S00035,2025-07-11,99.00,EUR,paid
I000534,S00035,2025-08-11,99.00,EUR,paid
I000535,S00035,2025-09-11,99.00,EUR,paid
I000536,S00035,2025-10-11,99.00,EUR,failed
I000537,S00035,2025-11-11,99.00,EUR,open
