subscription_id,customer_id,plan_name,monthly_price,start_date,end_date,status
S00056,C0043,growth,99.0,2025-03-25,,active
S00057,C0044,starter,29.0,2025-01-01,,active
S00058,C0045,starter,29.0,2025-06-26,2025-12-14,cancelled
S00059,C0046,scale,299.0,2024-09-25,,active
S00060,C0047,growth,99.0,2024-09-06,,active
S00061,C0047,starter,29.0,2025-04-06,,active
S00062,C0048,starter,29.0,2024-04-17,,active
S00063,C0049,growth,99.0,2024-02-08,2024-12-27,cancelled
S00064,C0050,growth,99.0,2024-09-21,,active
S00065,C0051,growth,99.0,2024-05-22,2025-01-12,cancelled
S00066,C0052,scale,299.0,2024-10-18,,active
S00067,C0053,growth,99.0,2024-04-11,,paused
S00068,C0053,scale,299.0,2024-09-26,,active
S00069,C0054,starter,29.0,2025-04-27,,active
S00070,C0054,growth,99.0,2025-12-07,2026-08-13,cancelled
S00071,C0055,starter,29.0,2024-05-19,,paused
S00072,C0056,starter,29.0,2024-05-31,,active
S00073,C0056,starter,29.0,2025-02-24,,active
S00074,C0056,starter,29.0,2025-10-23,,active
S00075,C0057,growth,99.0,2025-04-22,,active
S00076,C0058,scale,299.0,2024-12-06,,active
S00077,C0058,starter,29.0,2025-10-26,,active
S00078,C0059,scale,299.0,2025-05-19,,paused
S00079,C0060,starter,29.0,2024-02-26,,active
S00080,C0061,starter,29.0,2025-02-23,,active
S00081,C0061,scale,299.0,2025-09-26,2026-03-22,cancelled
S00082,C0062,scale,299.0,2025-03-05,2025-08-21,cancelled
S00083,C0063,growth,99.0,2024-01-08,,active
S00084,C0064,scale,299.0,2024-11-04,,active
S00085,C0064,scale,299.0,2025-05-24,2026-04-19,cancelled
S00086,C0065,scale,299.0,2024-07-29,,active
S00087,C0065,starter,29.0,2024-12-06,,active
S00088,C0065,growth,99.0,2025-07-08,,paused
S00089,C0066,growth,99.0,2024-03-05,,active
S00090,C0067,scale,299.0,2024-11-23,2025-06-09,cancelled
S00091,C0068,growth,99.0,2025-06-14,,paused
S00092,C0069,starter,29.0,2024-03-28,,active
S00093,C0069,growth,99.0,2024-09-05,,paused
S00094,C0070,starter,29.0,2024-04-22,2025-01-13,cancelled
S00095,C0070,starter,29.0,2024-11-15,,active
S00096,C0071,scale,299.0,2025-03-17,2025-07-29,cancelled
S00097,C0071,scale,299.0,2025-08-30,,paused
S00098,C0072,growth,99.0,2024-02-17,,active
S00099,C0072,scale,299.0,2024-12-15,,active
S00100,C0073,starter,29.0,2025-07-24,,active
S00101,C0074,starter,29.0,2024-12-16,,paused
S00102,C0074,starter,29.0,2025-09-28,,paused
S00103,C0074,scale,299.0,2026-04-25,,active
S00104,C0075,starter,29.0,2024-06-12,,active
S00105,C0075,starter,29.0,2025-02-13,,active
S00106,C0075,starter,29.0,2026-01-15,,active
S00107,C0076,growth,99.0,2024-04-05,,paused
S00108,C0076,growth,99.0,2025-01-01,,active
S00109,C0077,scale,299.0,2024-05-19,,paused
S00110,C0078,growth,99.0,2025-07-06,,active
S00111,C0078,scale,299.0,2026-02-14,,active
S00112,C0079,starter,29.0,2024-04-24,,active
S00113,C0079,starter,29.0,2024-12-22,2025-02-12,cancelled
S00114,C0079,scale,299.0,2025-07-11,2026-02-21,cancelled
S00115,C0080,scale,299.0,2024-06-19,,active
S00116,C0080,starter,29.0,2024-10-28,,paused
S00117,C0080,starter,29.0,2025-06-14,2025-09-03,cancelled
S00118,C0081,starter,29.0,2024-02-24,,active
S00119,C0081,starter,29.0,2024-11-11,,active
S00120,C0081,growth,99.0,2025-05-26,2026-05-23,cancelled
S00121,C0082,scale,299.0,2024-07-10,,active
S00122,C0082,scale,299.0,2025-02-11,2025-11-17,cancelled
S00123,C0083,starter,29.0,2024-06-23,2024-12-17,cancelled
S00124,C0084,growth,99.0,2024-08-09,2025-09-03,cancelled
S00125,C0084,growth,99.0,2024-12-12,2025-01-25,cancelled
S00126,C0085,starter,29.0,2025-06-19,,active
S00127,C0086,scale,299.0,2024-04-30,,active
S00128,C0087,starter,29.0,2024-01-09,2024-08-21,cancelled
S00129,C0088,growth,99.0,2024-08-11,,active
S00130,C0089,growth,99.0,2024-02-08,,active
S00131,C0090,growth,99.0,2024-04-03,,active
S00132,C0090,starter,29.0,2024-11-22,,active
S00133,C0091,growth,99.0,2024-07-10,,paused
S00134,C0091,growth,99.0,2025-05-01,2025-09-09,cancelled
S00135,C0091,growth,99.0,2025-11-11,,active
S00136,C0092,growth,99.0,2024-12-25,,active
S00137,C0093,starter,29.0,2024-09-08,2024-11-02,cancelled
S00138,C0094,growth,99.0,2025-04-10,2026-03-16,cancelled
S00139,C0094,growth,99.0,2026-02-13,2027-01-26,cancelled
S00140,C0095,scale,299.0,2024-08-03,2024-11-11,cancelled
S00141,C0096,scale,299.0,2024-08-12,,active
S00142,C0097,scale,299.0,2024-10-23,2025-01-07,cancelled
S00143,C0098,growth,99.0,2024-02-20,,active
S00144,C0099,growth,99.0,2025-05-19,,active
S00145,C0100,growth,99.0,2024-10-13,2025-07-16,cancelled
S00146,C0100,growth,99.0,2025-09-21,2025-12-18,cancelled
S00147,C0101,starter,29.0,2025-01-19,,paused
S00148,C0101,scale,299.0,2025-11-21,,paused
S00149,C0101,scale,299.0,2026-10-05,,active
S00150,C0102,scale,299.0,2025-01-01,,active
S00151,C0103,growth,99.0,2025-01-11,,active
S00152,C0103,growth,99.0,2025-09-27,2026-06-25,cancelled
S00153,C0104,scale,299.0,2024-07-21,,paused
S00154,C0105,scale,299.0,2024-06-12,,active
S00155,C0106,growth,99.0,2024-11-24,,active
S00156,C0107,growth,99.0,2024-05-05,,active
S00157,C0108,growth,99.0,2024-10-10,2025-10-31,cancelled
S00158,C0109,scale,299.0,2025-08-01,,active
S00159,C0110,growth,99.0,2025-04-25,,active
S00160,C0111,growth,99.0,2024-11-30,,active
S00161,C0112,starter,29.0,2024-12-25,,active
S00162,C0112,growth,99.0,2025-09-09,,active
S00163,C0113,growth,99.0,2024-11-03,2025-10-27,cancelled
S00164,C0113,scale,299.0,2025-07-15,,active
S00165,C0113,starter,29.0,2026-01-14,2026-05-29,cancelled
S00166,C0114,scale,299.0,2025-03-19,,active
S00167,C0114,starter,29.0,2026-02-01,2027-01-02,cancelled
S00168,C0115,starter,29.0,2024-11-12,,active
S00169,C0116,scale,299.0,2025-01-01,,active
S00170,C0117,starter,29.0,2025-01-01,,active
S00171,C0118,starter,29.0,2024-09-22,,active
S00172,C0119,growth,99.0,2024-04-24,2025-02-10,cancelled
S00173,C0119,starter,29.0,2025-01-18,,active
S00174,C0120,scale,299.0,2025-01-11,,active
S00006,C0006,starter,29.0,2025-05-23,,active
